variant,date,fold,split,account_value,account_value_std,seed_count
gating,2013-04-29,fold1,test,9451.34615458042,100.63754718357896,5
gating,2013-04-29,fold2,val,9962.811913952624,502.7678004258842,5
gating,2013-04-30,fold1,test,9428.8011865767,100.39748928662713,5
gating,2013-04-30,fold2,val,9949.497847711216,506.68490203396044,5
gating,2013-05-01,fold1,test,9511.468175040145,101.27772399774234,5
gating,2013-05-01,fold2,val,9942.35302379117,429.94199224611674,5
gating,2013-05-02,fold1,test,9423.131872691014,100.33712266431478,5
gating,2013-05-02,fold2,val,9955.497233054872,454.25800198894666,5
gating,2013-05-03,fold1,test,9327.57364031309,99.31962251540125,5
gating,2013-05-03,fold2,val,9952.565070749102,540.1667815149743,5
gating,2013-05-06,fold1,test,9303.874443022132,99.06727443222049,5
gating,2013-05-06,fold2,val,9938.798015016237,547.1304591122794,5
gating,2013-05-07,fold1,test,9256.716294644979,98.56513639761988,5
gating,2013-05-07,fold2,val,9936.65559264543,589.1079259876108,5
gating,2013-05-08,fold1,test,9214.589115042929,98.11656791271041,5
gating,2013-05-08,fold2,val,9915.538321991307,608.4043501452084,5
gating,2013-05-09,fold1,test,9240.538866175577,98.39287980112331,5
gating,2013-05-09,fold2,val,9929.809102750518,600.0041780270849,5
gating,2013-05-10,fold1,test,9210.470876414389,98.07271707627699,5
gating,2013-05-10,fold2,val,9915.588550203925,613.580823748399,5
gating,2013-05-13,fold1,test,9203.14411783491,97.99470205067315,5
gating,2013-05-13,fold2,val,9904.731686599704,609.2666469937599,5
gating,2013-05-14,fold1,test,9125.395209777655,122.22232869527781,5
gating,2013-05-14,fold2,val,9877.051471004883,627.0799041883068,5
gating,2013-05-15,fold1,test,9094.385245232255,154.08596850962573,5
gating,2013-05-15,fold2,val,9851.765548406427,664.4621710883199,5
gating,2013-05-16,fold1,test,9109.113528976004,114.56145531017343,5
gating,2013-05-16,fold2,val,9873.319783621464,660.3654070114978,5
gating,2013-05-17,fold1,test,9090.538737622821,206.07041316567458,5
gating,2013-05-17,fold2,val,9832.908481987515,730.2362550331997,5
gating,2013-05-20,fold1,test,9088.898609532276,203.86366717493917,5
gating,2013-05-20,fold2,val,9829.176107888125,725.3503244491062,5
gating,2013-05-21,fold1,test,9084.684451943793,216.15594618205407,5
gating,2013-05-21,fold2,val,9813.681931895746,719.6794581203682,5
gating,2013-05-22,fold1,test,9108.659389343935,155.01340695511726,5
gating,2013-05-22,fold2,val,9884.650706787927,727.4139994307085,5
gating,2013-05-23,fold1,test,9111.702428056766,125.08453969435345,5
gating,2013-05-23,fold2,val,9896.85225632925,711.2490045712225,5
gating,2013-05-24,fold1,test,9113.155001403811,116.93417546494562,5
gating,2013-05-24,fold2,val,9893.904159753984,699.3746479794023,5
gating,2013-05-28,fold1,test,9102.828257825802,175.263304343863,5
gating,2013-05-28,fold2,val,9864.731678622298,706.5116036022288,5
gating,2013-05-29,fold1,test,9113.672250566082,112.08289258403968,5
gating,2013-05-29,fold2,val,9868.303272465593,649.549284669007,5
gating,2013-05-30,fold1,test,9107.289109454185,147.80561408160926,5
gating,2013-05-30,fold2,val,9858.093846902148,669.6501103184248,5
gating,2013-05-31,fold1,test,9131.619318128734,32.73703066719005,5
gating,2013-05-31,fold2,val,9962.610240658994,626.4097087780198,5
gating,2013-06-03,fold1,test,9129.794781026274,60.57484444682962,5
gating,2013-06-03,fold2,val,9946.860459013467,651.331573345243,5
gating,2013-06-04,fold1,test,9136.536527028878,35.32665041280261,5
gating,2013-06-04,fold2,val,9958.186137679599,617.3005196753703,5
gating,2013-06-05,fold1,test,9134.62922945925,125.517135918387,5
gating,2013-06-05,fold2,val,9891.88217932966,563.3322741163573,5
gating,2013-06-06,fold1,test,9148.469265900838,64.76002781457376,5
gating,2013-06-06,fold2,val,9960.613241163208,591.3518566921904,5
